Year,Company name, Number of single use plastic bags issued , Gross proceeds of charge (£) ,VAT (£),Costs deducted (£), Cost of changing till systems (£),Cost of staff communications (£),Cost of customer communications (£),Cost of obtaining advice on charge (£),Cost of administering donations (£),Other costs associated with implementing charge (£), Description of other costs, Net proceeds  (£) (Gross less VAT and costs) ,Use of net proceeds,Other use of net proceeds,Amount donated to good causes (£),Good causes in receipt of proceed donation,Number of paper bags issued,Number of bags for life,Any other information
2016-17,Minds Matter (TA) Ltd,124683,6234.15,1039.03,No costs deducted from proceeds,0,0,0,0,0,0, ,5195.12,Donated, ,6234,Health,,, 
2016-17,"MNG Mango, UK Ltd",8059,387,64,No costs deducted from proceeds,0,0,0,0,0,0, ,323,Donated, ,323,Health,,, 
2016-17,MONDELEZ EUROPE SERVICES GMBH - UK BRANCH,158860,7943,2601.2,No costs deducted from proceeds,0,0,0,0,0,0,,5341.8,Donated,,5341.8,Charity/Voluntary,,,
2016-17,Morleys Department Stores Ltd,493339,24666.95,4165.8,150,0,0,0,0,0,150, Accounts/Admin/Administering Donation,20351.15,Donated, ,20351,Charity/Voluntary,18000,,"Net proceeds will be donated to Honeypot Childrens Charity together with stores collections. Company also uses small paper bags for accessories.

"
2016-17,Moss Bros Group PLC,59580,2979,496.5,No costs deducted from proceeds,0,0,0,0,0,0, ,2482.5,Donated, ,2483,Health,,, 
2016-17,Mothercare PLC,2446940,122347,20391.17,No costs deducted from proceeds,0,0,0,0,0,0, ,101955.83,Donated, Donations made quarterly to charity,101955.83,Environment,,,
2016-17,MP Moran & Sons Limited,8574,429,72,No costs deducted from proceeds,0,0,0,0,0,0, ,357,Donated, ,357,Health,,, 
2016-17,Newcastle University,99,4.95,0.82,No costs deducted from proceeds,0,0,0,0,0,0, ,4.13,Donated, ,4,Education,,,
2016-17,Next retail Ltd,24311036,1215551.8,202591.98,No costs deducted from proceeds,0,0,0,0,0,0, ,1012959.83,Donated, ,1012959,"Charity/Voluntary,Local causes chosen by customers or staff",,,
2016-17,Nike Retail UK (a UK establishment of Nike Retail B.V.),1255756,58350.18,11014.35,No costs deducted from proceeds,0,0,0,0,0,0, ,47335.83,Donated, ,47335,Charity/Voluntary,,, 
2016-17,Nirvana Spa & Leisure Ltd,1544,77.2,12.87,No costs deducted from proceeds,0,0,0,0,0,0, ,64.33,Donated, ,0,  ,,, 
2016-17,Nisbets Plc,101521,5076.05,1015.21,No costs deducted from proceeds,0,0,0,0,0,0, ,4060.84,Donated, ,4061,"Charity/Voluntary,Local causes chosen by customers or staff",,, 
2016-17,Norwich Tourist Information Centre,185,9.25,1.54,No costs deducted from proceeds,0,0,0,0,0,0, ,7.71,Donated, ,9,Charity/Voluntary,,,
2016-17,Notcutts Limited,115996,5975,1157,No costs deducted from proceeds,0,0,0,0,0,0, ,4818,Donated, ,4818,Local causes chosen by customers or staff,,, 
2016-17,Nottinghamshire County Council,703,35.15,5.86,No costs deducted from proceeds,0,0,0,0,0,0,,29.29,Put to other uses ,,0,Environment,,,
2016-17,Ocado,128388732,6419439,1069907,No costs deducted from proceeds,0,0,0,0,0,0, ,5349532,"Donated,Put to other uses (supply details below)"," Ocado has a bag buy back scheme, financially incentivising customers to return their bags for recycling. We use a large majority of the proceeds from the charge to fund this scheme as we believe it supports the legislation in removing bags from becoming litter.",0,  ,,,All proceeds from this legislation are going towards helping to reduce litter and waste and incentivise recycling.
2016-17,Office Team Ltd (Biddles),876,43.8,7.3,No costs deducted from proceeds,0,0,0,0,0,0, ,36.5,Donated, ,37,"Charity/Voluntary,Local causes chosen by customers or staff",600,,
2016-17,One Stop Stores Ltd,19145859,957578.7,158911,56460,0,0,0,0,56460,0, ,742207.7,"Donated,Retained by your company / organisation", ,478608,Local causes chosen by customers or staff,,2778720,"Groundwork UK are paid administration fees for help with the Carriers For Causes' website and for allocating charity awards.

Not all proceeds have yet been allocated to causes but we attempt to each quarter dependent on responses."
2016-17,Oxford University Press,1872,93.6,18.72,No costs deducted from proceeds,0,0,0,0,0,0, ,74.88,Donated, ,74,"Charity/Voluntary,Local causes chosen by customers or staff",,, We have not recorded the number of paper bags given out.  It would be 1000s.  
2016-17,Paultons Park Ltd,90871,4543.55,757.26,No costs deducted from proceeds,0,0,0,0,0,0, ,3786.29,Donated, ,3786,Local causes chosen by customers or staff,,,
2016-17,PCT Healthcare Ltd,6038,301.9,60.38,No costs deducted from proceeds,0,0,0,0,0,0, ,241.52,Donated, ,242,"Charity/Voluntary,Local causes chosen by customers or staff",,, 
2016-17,Petrogas Group UK Ltd,170943,8547.15,1424.52,No costs deducted from proceeds,0,0,0,0,0,0, ,7122.63,Donated, ,0,  ,,,
2016-17,Pets at Home Limited,1948371,97401.86,16444.31,No costs deducted from proceeds,0,0,0,0,0,0, ,80957.55,Donated, ,0,  ,,, 
2016-17,PGL Travel,59860,2993,591.05,No costs deducted from proceeds,0,0,0,0,0,0, ,2401.95,Donated, ,2504,Charity/Voluntary,,, Donation to NSPCC includes proceeds from Welsh and Scottish bag sales.
2016-17,Picsolve International Ltd,123236,6161.8,1232.36,No costs deducted from proceeds,0,0,0,0,0,0,,4929.44,Partly donated,,3888.96,  ,,,
2016-17,Plymouth City Museum,93,4.65,0.78,No costs deducted from proceeds,0,0,0,0,0,0, ,3.87,Donated, ,3,Environment,93,, 
2016-17,Portmeirion Group UK Limited,35077,1770,336,No costs deducted from proceeds,0,0,0,0,0,0, ,1434,Donated, ,0,  ,,, 
2016-17,Post Office Limited,3039,151.95,25.33,No costs deducted from proceeds,0,0,0,0,0,0,,126.62,Donated, ,152,Environment,3039,, Donated to Kew Gardens
2016-17,Potters Leisure Ltd,7181,359.05,59.84,No costs deducted from proceeds,0,0,0,0,0,0, ,299.21,Donated,£299.21 Given to the Potters Friends Foundation Charity for local causes,299,Local causes chosen by customers or staff,,,
2016-17,Poundland Limited ,41777052,2088852.6,348142.1,460036.06,0,0,0,0,0,460036.06," Incremental costs to serve, additional cash handling costs, additional cash collections and change drops, additional card charges.",1280674.44,Donated, ,1280674,Charity/Voluntary,,21464906, 
2016-17,Poundstretcher Ltd,6023660,301183,50194.34,1000,0,0,0,0,0,1000,,249988.66,Retained by company,,0,,,,
2016-17,Poundworld Retail Limited,14618466,731427,146230,No costs deducted from proceeds,0,0,0,0,0,0, ,585197,"Donated,Retained by your company / organisation", ,0,  ,,,The company is reviewing its charity partnerships for the year and the amounts to be passed on and to which charities are still to be finalised.
2016-17,QD Commercial Group Holdings Limited,1003880,60233.64,10038.94,24495,0,0,0,0,0,24495,,25699.7,Donated,,,  ,,,
2016-17,Quality Save,1300992,65049.6,13009.92,25122.4,2200,2500,2400,0,1760,16262.4, Cost price of carrier bags issued,26917.28,Retained by your company / organisation,£2017.54 donated to various local causes,2017,"Charity/Voluntary,Local causes chosen by customers or staff",,,
2016-17,QVC,33896,1694.8,282.47,No costs deducted from proceeds,0,0,0,0,0,0,,1412.33,Donated,,0,"Health,Charity/Voluntary,Local causes chosen by customers or staff",,," All proceeds are split between the 4 chosen company charities at the end of the year
Breast Cancer Care, Crohn's and Colitis UK, Zoe's Place Baby Hospice and R Charity - Local Hospice"
2016-17,Ragdale Hall (1990) Limited,866,43.3,7.22,No costs deducted from proceeds,0,0,0,0,0,0, ,36.08,Retained by your company / organisation, ,0,,16500,, 
2016-17,Red 5 (Retail) Limited,109695,5463.34,907.06,No costs deducted from proceeds,0,0,0,0,0,0, ,4556.28,Donated, ,0,  ,,, 
2016-17,Richer Sounds plc,5268,324.8,62.55,No costs deducted from proceeds,0,0,0,0,0,0, ,262.25,Donated, ,262,Charity/Voluntary,,, 
2016-17,Ringtons Limited,133,6.65,1.1,No costs deducted from proceeds,0,0,0,0,0,0, ,5.55,Donated, ,0,  ,,, 
2016-17,River Island Clothing Co Ltd,7607504,380375.2,63395.87,No costs deducted from proceeds,0,0,0,0,0,0, ,316979.33,Donated, ,0,  ,,, 
2016-17,Robert Dyas Holdings Limited,1505440,75272,12545,No costs deducted from proceeds,0,0,0,0,0,0, ,62727,Donated, ,62727,Charity/Voluntary,,, 
2016-17,Rochester Castle,365,18.25,3.04,No costs deducted from proceeds,0,0,0,0,0,0, ,15.21,Donated, ,15,Local causes chosen by customers or staff,,, 
2016-17,Roman Originals,491760,24588,4098,No costs deducted from proceeds,0,0,0,0,0,0, ,20490,Donated, Given to local charities,20490,"Charity/Voluntary,Local causes chosen by customers or staff",,,
2016-17,Roys (Wroxham) Limited,618270,30913.5,5152.25,No costs deducted from proceeds,0,0,0,0,0,0, ,25761.25,Donated, ,32270.4,Local causes chosen by customers or staff,,,"Donations were £21,270.40 to the East Anglian Air Ambulance with £11,000.00 being made to Nelsons Journey.  The reason for higher donation is down to timing of when donation is made. "
2016-17,Ryman Limited,1317111,65856,10976,No costs deducted from proceeds,0,0,0,0,0,0, ,54880,Donated, ,54880,Charity/Voluntary,,, 
2016-17,Sainsbury's,51762560,2588128,431355,No costs deducted from proceeds,0,0,0,0,0,0, ,2156773,Donated, ,2156773,Local causes chosen by customers or staff,,, 
2016-17,Sally Salon Services Ltd,347756,17387.8,3416.81,No costs deducted from proceeds,0,0,0,0,0,0, ,13970.99,Donated, ,13971,Local causes chosen by customers or staff,,,"Three charities in England were given an equal split of the proceeds 							
Norhtern Region, 		The Lancashire Wildlife Trust   https//www.lancswt.org.uk/donate					
Central Region 		Essex Wildlife Trust http//www.essexwt.org.uk/					
Southern Region 		The Living Rainforest - https//www.livingrainforest.org/charity/					
"
2016-17,Savers Health & Beauty Limited,11234032,561700,93309,No costs deducted from proceeds,0,0,0,0,0,0, ,468391,Donated, ,468391,Health,,, 
2016-17,Sayers The Bakers Limited,1439920,71996,11999.33,No costs deducted from proceeds,0,0,0,0,0,0, ,59996.67,Donated, Charities are currently being selected by our employees and monies will be then be distributed,59997,"Charity/Voluntary,Local causes chosen by customers or staff",,, 
2016-17,Select Service Partner UK Limited,10664100,533205,88867.5,No costs deducted from proceeds,0,0,0,0,0,0, ,444337.5,Donated, ,444338,Charity/Voluntary,10664100,, Net proceeds donated to charity
2016-17,Semi Chem,35589,1779,356,No costs deducted from proceeds,0,0,0,0,0,0, ,1423,Donated, The proceeds from our carrier bags sales go to our Community grant scheme and Charity of the Year initiatives,0,  ,,, 
2016-17,Shearings Hotels Ltd,41,2.05,0.34,No costs deducted from proceeds,0,0,0,0,0,0, ,1.71,Retained by your company / organisation, ,0,,,, 
2016-17,Skechers USA LTD,276234,13811.7,2301.95,No costs deducted from proceeds,0,0,0,0,0,0, ,11509.75,Donated, ,0,  ,,,
2016-17,SMG UK Ltd First Direct Arena,8588,429.4,71.57,No costs deducted from proceeds,0,0,0,0,0,0, ,357.83,Donated, ,358,"Charity/Voluntary, Local causes chosen by customers or staff",,, Donation made to RNLI
2016-17,Smyths Toys UK Limited,1944987,97249,16208,No costs deducted from proceeds,0,0,0,0,0,0, ,81041,Donated, ,81041,"Health,Charity/Voluntary",,," Charity Names Acorn's Hospice
Little Haven's Hospice
Ickle Pickles
Birmingham Children's Hospital
Histio UK
Zoe's Place
Alder Hey Children's Charity
Royal Manchester Children's Hospital
Jessops hospital, special care baby unit
Leicester Royal Infirmary New Natal Unit"
2016-17,Snappy Snaps,1404,70.2,11.7,No costs deducted from proceeds,0,0,0,0,0,0,,58.5,Donated,,58.5,Charity/Voluntary,,,
2016-17,Sodexo Ltd,618538,31344.93,5224.15,No costs deducted from proceeds,0,0,0,0,0,0, ,26120.78,Donated, ,0,  ,,, 
2016-17,South Tyneside Council,487,24.35,4.06,No costs deducted from proceeds,0,0,0,0,0,0, ,20.29,Donated, ,20,Charity/Voluntary,,,
2016-17,Southampton City Council,1046,52.3,8.79,No costs deducted from proceeds,0,0,0,0,0,0, ,43.51,Donated, ,44,Charity/Voluntary,,, 
2016-17,Southbank Centre,12010,588.37,98.06,No costs deducted from proceeds,0,0,0,0,0,0, ,490.31,Retained by your company / organisation, ,490,"Arts,Education,Heritage,Charity/Voluntary",,,Net proceeds retained by Southbank Centre in order to support its core charitable purposes
2016-17,Sportswift Limited,11430140,571507,95251,No costs deducted from proceeds,0,0,0,0,0,0,,476256,Donated,,476256,Charity/Voluntary,,,
2016-17,St Peter's Hospice,139385,6969.25,1161.55,No costs deducted from proceeds,0,0,0,0,0,0, ,5807.7,Retained by your company / organisation, ,0,,,, Retained as we are a charity
2016-17,StanleyBlack&Decker,5546,277.3,46.22,No costs deducted from proceeds,0,0,0,0,0,0, ,231.08,Donated, ,231.08,Charity/Voluntary,,, The total are for 3 factory stores in England.
2016-17,Sue Ryder,1006555,103878.47,17313.08,No costs deducted from proceeds,0,0,0,0,0,0, ,86565.39,Donated, ,86565,"Health,Charity/Voluntary",,, The net proceeds were donated to Sue Ryder (registered charity 1052076) towards the provision of health and social care services.
2016-17,SUK Retail Ltd,275825,13791.25,2298.54,No costs deducted from proceeds,0,0,0,0,0,0, ,11492.71,Donated, ,11493,Local causes chosen by customers or staff,,, 
2016-17,Superdrug Stores plc,10796559,539690,89610,No costs deducted from proceeds,0,0,0,0,0,0, ,450080,Donated, ,450080,Health,,, 
2016-17,Tate Bros. Ltd,60244,3012.2,602.44,No costs deducted from proceeds,0,0,0,0,0,0, ,2409.76,"Donated,Retained by your company / organisation", ,0,  ,,,
2016-17,Tesco Stores Ltd,637181382,31859069.1,5309844.85,3401740.67,0,0,51131.38,0,3350609.29,0, ,23147483.58,Donated, ,23147484,Local causes chosen by customers or staff,,,"Tesco distributes the money raised from the carrier bag charge through its Bags of Help scheme. Launched in 2015, the national scheme invites local community groups to apply for funding for local projects. To date, we've given over £28 million to more than 4000 local community  projects, which range from installing new school playground equipment and improving local parks to creating new community gardens and restoring local heritage sites. These projects are chosen by our customers in- store.  We receive expert support from the community charity, Groundwork, who administer the scheme."
2016-17,The Atkinson,293,14.65,2.44,No costs deducted from proceeds,0,0,0,0,0,0, ,12.21,Retained by your company / organisation, donated to The Atkinson Trust registered charity ,12,Arts,,, 
2016-17,The Book People Ltd,166102,7492,,7474.59,0,0,0,0,0,7474.59,,,Retained by company,,0,,,,
2016-17,The Camphill Village Trust Ltd,324,16.2,2.7,No costs deducted from proceeds,0,0,0,0,0,0, ,13.5,Retained by your company / organisation, ,13,Charity/Voluntary,,,"The Camphill Village Trust Ltd, registered charity 232402."
2016-17,The Co-operative Group,125929333,6296211,1020247,No costs deducted from proceeds,0,0,0,0,0,0, ,5275964,Donated,,5275964,Local causes chosen by customers or staff,,19913286, 
2016-17,The Edinburgh Woolen Mill Ltd,166161,8308.05,1384.68,2404.81,0,0,0,0,0,2404.81, Administrative costs - £20.00; Payroll costs - £1384.68 ,4518.56,Retained by your company / organisation, ,0,,,, From June 2016 the Company has stopped using single-use carrier bags
2016-17,The Factory Shop Ltd,2665580,133279,22213.17,66639.5,0,0,0,0,0,66639.5,Admin charge,44426.33,Donated, ,0,  ,,, 
2016-17,The Midcounties Co-operative,9580000,479000,93000,46000,0,0,0,0,46000,0, ,340000,Donated, ,340000,"Arts,Education,Environment,Heritage,Health,Sport,Charity/Voluntary,Local causes chosen by customers or staff",,1363191,
2016-17,The Reading Football Club Limited,7714,385.7,64.28,No costs deducted from proceeds,0,0,0,0,0,0, ,321.42,Donated, ,321,Local causes chosen by customers or staff,,, 
2016-17,The Salvation Army,38323,1916.15,319.36,No costs deducted from proceeds,0,0,0,0,0,0, ,1596.79,Retained by your company / organisation, ,0,,,, 
2016-17,The Southern Co-operative,9105271,455769,75961.5,83347,0,0,0,0,0,83347,This represents the cost of purchasing the bags from the supplier.,296460.66,Donated," The proceeds have been used as local grants where local causes can apply for funding for up to £1,000. The proceeds have been distributed to more than 200 local causes, with projects tackling greener, healthier, more inclusive and safer projects. For more details on our programme, please visit www.thesouthernco-operative.co.uk/makingadifference/local-funding",296460.66,"Education,Environment,Health,Sport,Charity/Voluntary,Local causes chosen by customers or staff",,949799,"The funds have been spent on 4 focus areas for the business greener (environment), healthier (healthy eating/food education, sports education etc), more inclusive (social isolation, disability, ageing society etc), safer (antisocial behaviour, alcohol abuse education etc). The local causes supported were local charities, community interest companies, voluntary groups, community groups, schools and PTAs.
The  £28,426.6 of unspent funds will be equally split between 4 chosen regional campaign partners. More details on who they are and how they will spend the donations can be found on  website, under the 'Campaigns Partners' section www.thesouthernco-operative.co.uk/makingadifference/love-your-neighbourhood."
2016-17,University of Manchester,2662,133.1,22.18,No costs deducted from proceeds,0,0,0,0,0,0, ,110.92,Put to other uses (supply details below), Donated to The John Rylands Library,0,,,, 
2016-17,Thorntons Ltd,1541987,77099,12850,No costs deducted from proceeds,0,0,0,0,0,0, ,64249,Donated, ,64249,Environment,,, 
2016-17,Three,57524,2876.2,575.24,No costs deducted from proceeds,0,0,0,0,0,0, ,2300.96,Donated, ,2300,Local causes chosen by customers or staff,,,All proceeds were donated to charities registered in England through Community Fund (which enables all employees to nominate charities they are passionate about for a donation of £500 from Three). The proceeds were added to the budget as additional funds available and have been included in the donations made following the reporting period.
2016-17,Tiger Retail Ltd,1816031,176510.44,29418.45,123457.43,0,0,0,0,0,123457.43,Cost of purchasing bags,23634.56,Retained by your company / organisation, ,0,,,, 
2016-17,TJX,19528402,976420,195284,No costs deducted from proceeds,0,0,0,0,0,0,,781136,Donated, ,0,  ,,, 
2016-17,Toolstation Ltd,451479,22573.95,451.48,No costs deducted from proceeds,0,0,0,0,0,0, ,22122.47,Donated, ,22573,Charity/Voluntary,,, 
2016-17,Toys R Us Limited,923872,46193.6,7698.93,No costs deducted from proceeds,0,0,0,0,0,0, ,38494.67,Donated, ,38495,Charity/Voluntary,,,
2016-17,TPS ,2907,290.7,58.14,No costs deducted from proceeds,0,0,0,0,0,0, ,231.92,Donated, Donated to local charity (propose Willen Hospice) ,290,"Health,Local causes chosen by customers or staff",,, 
2016-17,Travis Perkins plc,221759,11087.95,1848,No costs deducted from proceeds,0,0,0,0,0,0, ,9239.95,Donated, ,11088,"Environment,Health",,,
2016-17,Tyne and Wear Archives & Museums,5298,264.9,44.15,No costs deducted from proceeds,0,0,0,0,0,0, ,220.75,Donated, ,221,"Arts,Heritage",,, 
2016-17,"UCL Shop, Univeristy College London",2351,587.75,117.55,No costs deducted from proceeds,0,0,0,0,0,0, ,470.2,Donated, ,470,Local causes chosen by customers or staff,2500,, Donated to UCL dementis research 
2016-17,University of Bath,58430,3461,576.83,No costs deducted from proceeds,0,0,0,0,0,0, ,2884.17,Donated, ,2884,"Education,Environment,Charity/Voluntary,Local causes chosen by customers or staff",,, 
2016-17,University of Birmingham,26233,1311.65,218.61,No costs deducted from proceeds,0,0,0,0,0,0, ,1093.04,Retained by your company / organisation, The net proceeds of the charge made by the University have been and will be applied towards its general charitable purposes.,0,,,, 
2016-17,University of Exeter,37970,2542.45,423.74,1,0,1,0,0,0,0, ,2117.71,Donated, ,2000,Local causes chosen by customers or staff,,, 
2016-17,University of Keele,56169,2808.45,468.08,No costs deducted from proceeds,0,0,0,0,0,0, ,2340.37,Retained by your company / organisation, ,0,,,, 
2016-17,University of London,277,27.7,5.96,No costs deducted from proceeds,0,0,0,0,0,0, ,21.74,Retained by your company / organisation, ,0,,,, 
2016-17,University of the Arts London,10508,1201.6,200.3,No costs deducted from proceeds,0,0,0,0,0,0, ,1001.3,Put to other uses (supply details below),"Net Proceeds just about cover the cost of the bags, so there is no profit made from the plastic bags.",0,,19000,9216,
2016-17,University of Warwick,175181,8759.05,1459.85,No costs deducted from proceeds,0,0,0,0,0,0, ,7299.2,Donated, ,0,  ,,,
2016-17,Vodafone Ltd,20657,1032.85,206.57,No costs deducted from proceeds,0,0,0,0,0,0,,826.28,Donated,,826.28,Charity/Voluntary,,,
2016-17,WH Smith plc,4027435,206471,34412,39559,0,27787,6184,0,5588,0, ,132500,Donated, ,132500,Local causes chosen by customers or staff,,2970759, 
2016-17,W R Evans Healthcare Ltd,5592,279.6,55.92,No costs deducted from proceeds,0,0,0,0,0,0, ,223.68,Donated, ,0,  ,,, 
2016-17,W Wing Yip & Brothers Trading Group Ltd,440215,22010.75,3668.46,No costs deducted from proceeds,0,0,0,0,0,0,,18342.29,"Retained by your company / organisation,Put to other uses (supply details below)", Currently Retained to be distributed to charities local to the individual store in the near future,0,,,,The local store director has been asked to choose local charities to their individual store. This has not been finalised as at this date.
2016-17,Wagamama limited,498,24.9,,No costs deducted from proceeds,0,0,0,0,0,0,,,Donated,,,Charity/Voluntary,,,Figures exclude bags for Scotland and Wales. 
2016-17,Waitrose Ltd,62803780,3140189,523364.83,No costs deducted from proceeds,0,0,0,0,0,0, ,2616824.17,Donated, ,2616824,"Environment,Health",,, 
2016-17,Walker & Son,4523,226.13,37.68,No costs deducted from proceeds,0,0,0,0,0,0, ,188.45,Retained by your company / organisation, ,0,,,, 
2016-17,Waremoss Ltd,6441,326.25,54.37,No costs deducted from proceeds,0,0,0,0,0,0, ,271.88,Donated, Donated to Hospices UK,272,Health,,, Money sent to Hospices UK
2016-17,Warner Bros. Studios Leavesden Ltd.,452490,22624.5,3770.75,No costs deducted from proceeds,0,0,0,0,0,0, ,18853.75,Donated, ,18854,"Charity/Voluntary,Local causes chosen by customers or staff",,, 
2016-17,Warner Leisure Hotels,17226,861.3,143.55,No costs deducted from proceeds,0,0,0,0,0,0,,717.75,Donated,,717.75,Health,,,
2016-17,Welcome Break Group Limited,1481216,74060.8,12343.46,No costs deducted from proceeds,0,0,0,0,0,0, ,61717.34,Donated, ,61717,Charity/Voluntary,,,
2016-17,Well Pharmacy,324503,16185.64,,No costs deducted from proceeds,0,0,0,0,0,0,,,Donated,,,Environment,,,
2016-17,Wildfowl & Wetlands Trust (Trading) Ltd,5745,286.4,47.54,No costs deducted from proceeds,0,0,0,0,0,0, ,238.86,Retained by your company / organisation, ,0,,,," Retained by WWT (Trading) ltd to be donated to the Charity WWT. WWT Limited is a charity (1030884 England and Wales, SCO39410 Scotland) and a company limited by guarantee (2882729 England). VAT number 618368028"
2016-17,Wilkinson Hardware Stores Limited ,34623998,1731199.9,288533.32,74603.61,0,15500,58376.51,0,727.1,0, ,1368062.97,Donated, ,1368063,"Arts,Environment,Health,Charity/Voluntary,Local causes chosen by customers or staff",,,
2016-17,William Strikes Ltd,88073,4404.19,734.03,1867.15,0,0,0,0,0,1867.15,Cost of the carrier bags,1803.01,Donated, ,0,  ,,, 
2016-17,Wm Morrison Supermarkets PLC,191508650,9575432.5,1339063.23,No costs deducted from proceeds,0,0,0,0,0,0, ,8236369.27,"Donated,Put to other uses (supply details below)","All of the money generated from the sale of 5p carrier bags in Morrisons supermarkets (less VAT) is donated to good causes. After the deduction of a blended rate of VAT from the charge applied in our online business net proceeds equate to Â£2,201,504.48â€‹. Â£â€‹1,823,312.59 â€‹was used to support the recycling incentive we offer to our online customers. The remaining Â£â€‹378,191.89 has been used to support the Morrisons Foundation. ",6413056,Charity/Voluntary,,, 
2016-17,Woodthorpe Hall Garden Centres Limited,51194,2559.7,426.62,No costs deducted from proceeds,0,0,0,0,0,0,,2133.08,Donated,,0,Local causes chosen by customers or staff,,,
2016-17,Wrights Pies (Shelton) Ltd,78749,3937.45,656.24,No costs deducted from proceeds,0,0,0,0,0,0, ,3281.21,Donated, ,0,  ,,,
2016-17,YESSS (A) Electrical Ltd,285600,14280,2380,550,0,100,100,250,100,0, ,11350,Donated, ,0,  ,,,To be selected by board members
2016-17,YO! Sushi UK Ltd,87896,4394.8,878.96,7910.64,0,0,0,0,0,7910.64,Cost to make the bags,-4394.8,Put to other uses (supply details below), The bags cost YO! 0.09p to make. The sales of the bags don't cover these costs.,0,,,,Switched to paper bags as of the 11/01/2017
2017-18,2 sisters (Red Meat) Ltd,12622,631.1,103.93,No costs deducted from proceeds,0,0,0,0,0,0, ,527.17,Donated, ,527,Local causes chosen by customers or staff,,, 
2017-18,A F Blakemore & Son Ltd,5981614,249233.92,49846.78,20000,0,0,0,0,20000,0,,179387.14,Donated,,229233.92,Charity/Voluntary,,,
2017-18,Age UK Trading CIC,684104,34205.2,5700.87,No costs deducted from proceeds,0,0,0,0,0,0, ,28504.33,Donated, All proceeds donated to Age UK,28504,Charity/Voluntary,,, 
2017-18,Aldi Stores Ltd ,75499387,3774969.35,629161.56,No costs deducted from proceeds,0,0,0,0,0,0, ,3145807.79,Donated, ,3145807.79,"Education,Environment,Health,Sport,Charity/Voluntary,Local causes chosen by customers or staff",,3818852, 
2017-18,"Animal, a division of H Young (Operations) Limited",82858,4142.9,828.55,No costs deducted from proceeds,0,0,0,0,0,0, ,3314.35,Donated, ,3314,Environment,,, 
2017-18,Archant Community Media Limited,178555,8927.75,1487.96,No costs deducted from proceeds,0,0,0,0,0,0, ,7439.79,Donated, ,,  ,,, 
2017-18,Argos,6685104,334255,55709,No costs deducted from proceeds,0,0,0,0,0,0, ,278546,Donated, ,278546,Charity/Voluntary,,, 
2017-18,Asda Stores Limited ,192973018,9648651,1608108,No costs deducted from proceeds,0,0,0,0,0,0, ,8040543,Donated, ,8040543,Charity/Voluntary,,, Donated to Fight Hunger charity partners - FareShare  and Trussell Trust 
2017-18,B&Q ,1028455,51422.75,10284.55,No costs deducted from proceeds,0,0,0,0,0,0, ,41138.2,Donated, ,,  ,,, 
2017-18,Banhams Patent Locks Limited,1355,67.75,11.29,No costs deducted from proceeds,0,0,0,0,0,0, ,56.46,Donated, ,,  ,,, 
2017-18,Barton Grange Group Ltd,93979,4698.95,780.05,No costs deducted from proceeds,0,0,0,0,0,0, ,3918.9,Donated, ,3919,Local causes chosen by customers or staff,,1264, 
2017-18,Bath & North East Somerset Council,18778,938.9,156.48,No costs deducted from proceeds,0,0,0,0,0,0, ,782.42,Donated, ,782.42,"Arts,Heritage",,, 
2017-18,Bents Garden Centre Limited,73187,3659.35,609.89,No costs deducted from proceeds,0,0,0,0,0,0, ,3049.46,Donated, ,3049,Charity/Voluntary,,," Sales from tills produces report, of which total is donated to charity."
2017-18,Birds (Derby) Ltd,517655,25882.78,5179.72,No costs deducted from proceeds,0,0,0,0,0,0, ,20703.06,Donated, ,20703.06,"Health,Charity/Voluntary,Local causes chosen by customers or staff",,, We have always donated to charity so we add the carrier bag donations to this process
2017-18,Blackburn Rovers Football & Athletic Ltd,6600,330,66,No costs deducted from proceeds,0,0,0,0,0,0, ,264,Donated, ,264,"Charity/Voluntary,Local causes chosen by customers or staff",,, 
2017-18,Blackpool Pleasure Beach Ltd,24250,1227,205,No costs deducted from proceeds,0,0,0,0,0,0,,1023,Donated,,,Charity/Voluntary,,987,Compiled using Sales Data from EPOS system and cross checked against Stock issued on the Computerised Stock System
2017-18,Blackwell UK Limited,222908,11145.4,2229.08,No costs deducted from proceeds,0,0,0,0,0,0,,11145.4,Donated,,11145.4,  ,,,
2017-18,Blue Cross,104998,5249.9,1049.98,No costs deducted from proceeds,0,0,0,0,0,0,,4199.92,Retained by your company / organisation,,4199.92,Charity/Voluntary,,,
2017-18,BMB Clothing Limited,106700,5335,886,No costs deducted from proceeds,0,0,0,0,0,0, ,4449,Donated, ,4449,Charity/Voluntary,106700,, 
2017-18,"Bodleian Libraries, University of Oxford",12041,602.05,100.34,No costs deducted from proceeds,0,0,0,0,0,0, ,501.71,Donated, ,502,Education,,, 
2017-18,Bonmarche Limited,2118438,105921.9,21184.38,No costs deducted from proceeds,0,0,0,0,0,0,,84737.52,Donated,,105921.9,Charity/Voluntary,,,
2017-18,Boux Avenue Limited,95563,4778,796,No costs deducted from proceeds,0,0,0,0,0,0,,3982,Donated,,,Charity/Voluntary,,,
2017-18,Bradfords Building Supplies Ltd,2718,135.9,22.65,No costs deducted from proceeds,0,0,0,0,0,0, ,113.25,Retained by your company / organisation, ,0,,,, 
2017-18,Brighton & Hove Albion FC,21647,1078.73,216.47,No costs deducted from proceeds,0,0,0,0,0,0, ,862.26,Donated, ,,  ,,, 
